wallet,stake_fixed,boost_fixed
FZVB63Q2OB5SRYJFIWLMXYPMD3HK7BO2S4RCZ7IGWNLHKJUOFJJG2RLTNE,1086.556695,860.2542446
MJLT3V6D4JLAXAYHY77LQRT6OQFHYJAURDSGQBIDVPIWDY5N7SCKZ4VS2Y,1085.122733,859.1189408
M3JUSXUDTTGGO32A5QENRPY5RCARTOC2EBIM37HYQV7GPY4FHJ643HA33Q,1082.470095,857.0187807
KK3GZYRI3SBJ7AA62IO6UOITVXHQ2NSMSJH743ARSWFHS2KLQ47BX4BNAE,1081.481657,856.2362095
IZ3Z5HHJSRIYKB7RWLNY7M3HNCWHWFYMD7Z5UNDY3KVLCXHDLLJ27HI3Q4,1056.111153,836.1497438
FSWBKO5OCS5OTNHGURXN7BKXTVG37RBYWKYHN3ZNRS7KL4ZUKJELSJ7SKI,1055.418984,835.6017362
XUAZZX7LQ4ZVL4M4PD6HWHNVTO6H6XJL3455RH6AGBWZWVPGXPQBXYC6M4,1041.507924,824.5880004
BYWMWZSFVSADUVDB3MGZCKGJVEFNPQBVWTCIDZOGXNDWGCN7V63RM4AI6E,1033.410457,818.1770322
PE6CMTIJFQ7L4EO2UL5TB4YFZ2Z2B5GSBQV57EXSHCMPRLR5FI6JS2ZTXI,1030.864537,816.1613634
DFYGJM3Y2EERFI5ANZTHCJSXHBLGM2DBC56MZNMPT3FLW76VI7RZLCWMKE,1028.285798,814.1197109
PMG2HD4WZRZATN3G73OCKOSI7WCRSZJ2GV3MHZLUSLFK6E72GNUQAHACDM,1021.418158,808.6824277
7M64XE5BEPFS44FTTQ6NEGK6UZWAZDCSNV5WQLGGBP3J3AWWWGRNJQA354,1018.467316,806.3461719
FQZASQHLGOUDVIGF3JVBTXF4CZQ7KMHHET2EMM7ECT3MP7C6ZSN7QNCMZU,1016.875523,805.0859094
CCGGFAZXKYTQCBUR4ILWE3THHPSSIGSDVYHG53MFCBFQN57KUJCTNOBTAM,1016.666666,804.920552
YDWWQ53Y5ZY6RT2T6CDHSTW5O5F6R43CYAT5OSUKJ6CVCXSWPCB2KL6574,1016.619918,804.8835405
F6K6DXJCFJYI7TWIJJ3L3MZC7VS7AGZV7NWXBKSR7XNBJ4M5QDPN2MASBA,1015.078775,803.6633788
LGYJKWWK2F47CYDRHVB2XF3PJVKB3SAY4LPH5RHBMRSYMLOQTOR7F4GCCI,1014.619959,803.3001227
U5GWVV7SFNTRAOO254TR7IDSIF6I7RJTHJ4RYM24OS7XBLROXVJZZU6VBQ,1012.14,801.3366768
DSSFVPH2NHZZWVVBSAETVETCV5RD353ZPKQ37OPYLW4FEZVVILVVKPIC7Q,1010.428335,799.9815086
ILZCPOWEGD7FRHW4BNHGXCDOTSVL7LQIBMG2RFX3G3KJAOTTH3RW5SBOBA,1009.999999,799.6423842
MRK5EIXWABPSSJCBW2LU2XDWOTOIYTMBRRDMMVWRZN2QI3RMTP32C7AKS4,1008.62516,798.5538896
E3RFJOF24AOPBCXZ6MMGKIHA6XHQOAAZWARIJ5QZPBTLO5YXQKMLRJXM6U,1008.479872,798.4388615
QXF23ICK23XRPFHUC52SC76G3WO2L2RSJIGC26ODSRPMBQZMRN32IVU6QA,1008.054882,798.1023862
WIVW6MP7Y5ILDRCVWFETYZWXAAYRKDSCXU4NSAAGC75YNY4OPEP3XNY2J4,1007.918329,797.9942738
PWPNEWGYRAGJJZLG5TCSIDHILI4HDQ7GNKUHVMFRV3UH6J32Y6JXAQF2DU,1007.191558,797.4188709
PFGJNZAQP2HPAGGG33RCRV4FL4WPRPG3PS4M33GXMGF24WD4DRS6J4RR6A,1005.214726,795.8537633
QWWQJGDCKPANWVVZXXMARS2VYE4IU3SKRPCZBBF5U4IW2WQLWKY23Y4MGI,1005.024342,795.7030315
U453D434S7LFAP4DVSRFSM3367BRAP5AI6STDDFBJLNQ53HOZZ3M42Z3PQ,1004.620986,795.3836844
A4T26PHAXSPRMJ4NNMHBEZ65SZSWA34JRJ37RRCQK2SI5MJLDFRQRNEQKI,1004.442618,795.242466
24ZRM6CNNJSOX7N2OSXPRRT22IJVP6ZHF2GQXV27SSKK5F7NW6PUEEWZDE,1004.259391,795.0974006
XQQAHWJWZIR2HR6VFVHFINNZGOD24OYLKB7Q7KYOA23A6TBRKRGPVA4CX4,1002.875397,794.0016578
ZIJW6CFFAILT335CYRNWCWFQEPGXNVEPFANWCDCIPGTPZCQWNZIRKPJB4Y,1001.435639,792.8617652
CZL3IDCJSTMDCUID6RDMCDAKOPAECWE4YR4BULQRV2J6NELRGUG77RSR5M,1001.160217,792.6437066
6GZI6K44Y7PH2YZXQJ37PUJF4PSV3TFZ3ZZLW5PKNHYSGHFB4IVTW5JYI4,1000.450666,792.0819373
XGYCEYZCUOMQ4SAFJDMEA5G737O3FQ2LKYQ3WFOJ4KHY3OXRU7DPRP4GOU,1000.400326,792.0420818
KWHFOLYSDBKXU2NMAF4ZSTT4PXVK4YPOKJ5V67AMWHG2ORY2ICBK3NTJ64,1000.336783,791.9917732
5NYEGAY74EMS5GKXIRERMHNLHF4END4CEBDOHTK3H2OXFMQDBDD7S6JONM,1000,791.7251337
ZNCJ3AE5NLXA4AVLJ7OKLPB7MV3AYBDQPUIC5PQMXJTHULFRAB6GNF7TWY,1000,791.7251337
